id,,score.positive,score.negative,SA score
212,tesla owners happy cars tsla,1,0,1
346,amazon received patent technology would bring deliveries customers within minutes,0,0,1
533,rt stocktwits happy new year everyone heres one quick look 2016 sampp 500 spy dow dia treasuries tlt gold gld,1,0,1
571,everyone comments else aside twtr realtime pulse world presidents use link content,0,0,1
761,final 24 hours save 3570 blowout holiday sale happy holidays fb twtr peeps,1,0,1
809,spy qqq aapl 2017 win,1,0,1
1023,rt sampp 500 weekly chart amp market breadth update spy,0,0,1
1117,watch trump make twtr important ignore 2017 could honestly best thing president,1,1,1
1118,rt russellrhoads 2015 vs 2016 average closing prices volatility indexes vix pretty interesting distribution bp gs gdx,1,2,1
1146,heres daily inspiration want see get pumped up fb twtr,1,0,1
1284,rt goldmansachs video gs chief economist jan hatzius drive 35 global growth 2017,0,0,1
1378,video gs chief economist jan hatzius drive 35 global growth 2017,0,0,1
1599,microsoft well 2016 new year msft,0,0,-1
2181,twitters top china executive leaves 8 months twtr,0,0,-1
2342,apple expected make big upgrade release 10thanniversary iphone september 2017,0,0,1
2380,5 great media stocks 2017 cbs amc nflx sni foxa,0,0,1
2690,78 gain since election day best postelection day gain last trading day yr since,3,0,1
3401,might sell simply valuation amzn,0,1,-1
3612,5 ways find happiness really matters fb twtr,1,0,1
3671,2017 bulls dow theory side dia djia spy,0,0,1
3693,5 trade ideas tuesday endp ul dragonfly capital spy,0,0,1
3753,14 quarters losses teslamotors turned profit continue 2017 tsla,1,1,1
4066,cnbcfastmoney traders share 2017 stock picks aapl googl uup,0,0,1
4114,50 inspirational quotes get studying harder need push fb twtr,1,0,1
4176,bwld turn risky stock huge winner,1,1,1
4263,havent said aapl prob hit airpods 2 pair wont move needle rev base,0,0,-1
4307,seems fair aapls 2016 aapl gained mkt cap 1st yoy eps,1,0,1
4388,up nflx tonight first movie looks like must watch anyone tweets,0,0,1
4479,real vs questionable traders learn spot matters big time fb twtr,0,1,1
4583,rt ophirgottlieb twitter china head kathy chen leaves company twtr,0,0,-1
4670,rt timothysykes make 2000 per day magic number creates millionaire students fb,0,0,1
4685,trump tweets dow futures still up 70 points early going djia,0,0,1
4728,twitter china head kathy chen leaves company twtr,0,0,-1
4866,tesla top pick 2017 baird tsla,0,0,1
4967,airpods 10 notable tech stories year aapl fb twtr,0,0,1
5084,nomura puts buy starbucks names top restaurant stock 17 sees sentiment perking up sbux 16 drop starbucks,1,1,1
5500,macbook pro best released 2016 aapl,1,0,1
5662,top laptops 2016 hp machine industrys integrated pc privacy screen,0,0,1
5666,spx futures back 14 retest broken pennant resistance bears price get constructive,1,2,-1
5674,good morning green arrows start 2017 new flows come asia higher europe positive tone spx futs up 14,2,0,1
5685,bullish call nasdaq qqq oil amp gas stocks xop,0,0,1
6025,rt today apple computer corp steve jobs steve aapl,0,0,-1
6072,nasdaq100 failed breakout followed bounce new resistance qqq,0,2,-1
6216,two dow laggards surging morning nke amp dis,0,0,1
6558,adamfeuerstein raised prices 2017 single digits amp net increase 17 vs 16 expected 23 post agn,0,0,1
6596,peek markets us stock futures surge first trading day 2017 spy uso clvs grpn,0,0,1
6747,watch 5 huge put purchases tuesday trade ctxs rad twtr,0,0,1
6824,bear cases 6 wall streets amat amzn fcx nvda nem mu,0,0,1
7011,rt russellrhoads dougkass bloomberg radio saying trump may make volatility great business vix spx rut,0,1,1
7258,heres todays free morning call express levels amp thoughts see todays strength holds builds spx,1,0,-1
7530,new breakfast mcdonalds needs mcd,0,0,1
7606,restaurants playbook amp food trends year mcd cmg yum,0,0,1
7872,7 things younger apples iphone device prepares turn 10 years old aapl amzn fb nflx tsla,0,0,-1
7949,tsla 1 pre market ahead delivery,0,0,1
8000,gm up 1 trump twtr comments remember media pissed moving utx lmt,0,0,1
8014,think moving must read,0,0,1
8089,big bank stocks starting 2017 bang bac gs wfc up 1 upgrades,0,0,1
8242,djia surging triple digits morning trading heres whats rise,1,0,1
8244,spx stocks pace rise 2017,1,0,1
8246,bird spx,0,0,1
8375,market 5 minutes oil pushes markets higher kick new year spy uso gm xrx grpn dsw,0,0,1
8395,stockalert stocks watch today wallstreet gm tsla,0,0,1
8648,googl reclaimed pivot nflx also above pivot,0,0,1
8663,tsla nice rdr long entry pivot,1,0,1
8664,need spx gt ramp new alltime closing highs bears start 2017,1,1,1
8706,financials jpm ms gs c wfc,0,0,-1
8729,tech stocks aapl nflx amzn googl msft,0,0,1
8820,potential see 50000 units starbucks growth may continue forever,0,0,1
8932,tweets esrx fb nvda vrx tsla mnk mbly gpro,1,0,1
9151,rbcs top 10 internet surprises 2017 amzn baba ebay fb nflx googl twtr ebay,0,0,1
9213,aapl making apple beautiful option traders,1,0,1
9419,rt bwilliliou brentlsaunders allergans pharma good maxnisen bfly agn,1,0,-1
9448,interest rate trend finally bank americas friend bringing 3 billion potential profit yr,1,0,1
9472,spx market breadth 31 positive longer stays way likely becomes well close highs today,2,0,1
9498,amzn rang bell 2014 last quarter amazon go rang bell fintech,0,0,1
9522,drifting lower last 20 2000 2017 leader getting close iwm spy,0,1,-1
9783,apple could build iphones india end 2017 aapl,0,0,1
9905,big us oil companies likely strong position trump tax reform shale wti oott xom cop bp,1,0,1
9982,trumps hopes 4 economic growth may come up short lanceroberts spy spx qqq,0,1,-1
9986,december gaming win figures vegas vs macau byd czr lvs wynn mgm mpel,1,0,1
10072,rt djia could get 20k ge rose market cap increase billion dow20k,0,0,1
10192,no higher isnt drives companys stock price spx djia,0,0,-1
10218,conviction gld gdx sweepers today,0,1,1
10277,quick spy chart another lower high bigger new descending channel not much new info,0,1,-1
10410,intel intc take 15 pct stake mapping firm source via reutersbiz,0,0,1
10531,apple amazon activision top picks facebook aapl amzn atvi fb,0,0,1
10568,valaafshar jonerlichman thanks sharing amzn numbers,0,0,1
10577,nike named top pick jefferies twitters asia boss apparel stocks downgraded nke,0,2,1
10844,carter amp michaelkhouw think health care could make comeback year xlv celg,0,0,1
10973,rt thestreet mcdonalds opened last week outside city senior mcd,0,0,-1
11036,nasdaq100 index ndx story past present amp future performance ndx outperformed spx 23,1,0,1
11045,rt alex uber raised money twitter worth twtr google finance uber source,0,0,1
11052,rt optionsaction ‘riskreversal offers stock replacement trade aapl,0,0,1
11059,ebay rare value internet stock growth potential ebay,0,0,1
11091,rt optionsaction carter amp michaelkhouw think health care could make comeback year xlv celg,0,0,1
11153,got new video brokers full enjoy fb twtr,1,0,1
11171,drug companies seek avoid public raises prices 10 percent agn,0,1,-1
11397,yelp clever use covered calls turned big win,1,0,1
11490,gld gdx jnug gc,0,0,1
11500,survey says may delivered solid q4 netflix nflx,0,0,1
11524,rt sai apple could build iphones india end 2017 aapl,0,0,1
11666,taken advice amd nvda via barronstechblog,0,0,-1
11853,4 restaurant stocks investor 2017 pnra sbux,1,0,1
12004,without step improvement truly bots might years bots fb amzn,1,0,-1
12097,reminder tricky commodity investing natural gas up big 2016 ung etf rose 7 3x,0,0,-1
12199,gs got rejected 245 couldnt hold went red lack commitment,0,2,-1
12214,lots sectors failed hold fridays highs went red well like iwm example,1,1,-1
12248,mcdonalds brings southern breakfast menu mcd,0,0,1
12388,big movers new year vz nke nflx dix,0,0,1
12644,3 reasons victor anthony sees facebook buy fb,1,0,1
12864,prediction amazon launch selfdriving truck effort 2017 amzn,0,0,1
12942,retail forecast us consumers spend billion online 2020 amzn baba,0,0,1
13176,nvidia one bestperforming large cap stocks 2016 starting 2017 nvda,0,0,-1
13270,5 ambitious tech pipeline amzn goog,0,0,1
13307,money around jnug wft gdx fit little uso mixed bag day,0,0,-1
13518,rt timothysykes got new video brokers full enjoy fb twtr,1,0,1
13664,fijitime71 bright future nflx,0,0,1
13672,dis momentum atm action nvda premium bid up tsla up 15 sbux calls puts angiemiles xbi,0,0,1
13743,4 reasons twitter shares sold twtr crm dis goog,0,0,-1
13907,fb monthly oversold level since ipo holding monthly channel support math long since,1,0,1
14104,predictions new trump world include bold call dis nflx amp sandberg cc,0,0,1
14118,quest gets pricetarget hike tie opportunity,1,0,1
14120,sampp 500s forward pe ratio highest level 10 years chart spy voo,1,0,1
14162,apple wont get deal make iphones india bloomberg aapl,0,0,-1
14237,december jobs report weekly initial jobless claims could good economy spy,1,1,1
14334,nice trade look wake up candle agn thats day1 looks like good,1,0,1
14364,social media laggards ready january effect twtr p via investopedia,0,0,1
