first,second,replacement
go,up,okay
not,affected,okay
not,concerned,okay
no,long,notokay
pay,well,notokay
no,higher,notokay
lower,high,notokay
terrible,market,notokay
lose, momentum,notokay
lost,momentum,notokay
loses,momentum,notokay
not,enjoy,notokay
not,good,notokay
lower,profit,notokay
fall,short,notokay
dont,trust,notokay
poor,sales,notokay
not,working,notokay
cut,pay,notokay
cuts,pay,notokay
fake,news,notokay
wasnt,great,notokay
lost,profit,notokay
losses,profit,notokay
lose,profit,notokay
new,low,notokay
cant,growth,notokay
cant,profitable,notokay
terrible,idea,notokay
short,sellers,notokay
raises,concern,notokay
raise,concern,notokay
not,recommend,notokay
not,recommended,notokay
not,much,notokay
big,debt,notokay
high,down,notokay
short,trap,okay
exit,short,okay
sell,exhaust,okay
lipstick,pig,notokay
didnt,stop,okay
short,cover,okay
doesnt,well,notokay
bounce,buy,notokay
close,short,okay
isnt,cheap,notokay
fear,sell,notokay
short,break,okay
cant,down,notokay
cant,risk,okay
not,sell,okay
dont,fall,okay
sold,call,okay
dont,short,okay
exit,bancruptsy,okay
not,good,notokay
not,bad,okay
short,nervous,okay
wont,buy,notokay
dont,understimate,okay
dont,trade,notokay
buy,back,notokay
didnt,like,notokay
profit,exit,notokay
go,down,notokay
not ,guaranteed,notokay
not,slowdown,okay
not,profitable,notokay
doesn't,upward,notokay
not,dip,notokay
pull,back,notokay
aint,bad,okay
not,optimistic,notokay
