,id,tweets,givenpositive,givennegative,actual,positive,negative,if_contains,changed_tweets
0,0,valeant opens up <num> % after agreeing usd <num>.<num>bln deal with l'oreal $vrx,0,0,1,0,0,0,valeant opens up <num> % after agreeing usd <num>.<num>bln deal with l'oreal $vrx
1,1,watch $gs ' zach pandl on the dec jobs report & amp ; the fastest us wage growth since <num>,1,0,1,1,0,0,watch $gs ' zach pandl on the dec jobs report & amp ; the fastest us wage growth since <num>
2,2,rt @estimize : the iphone turned <num> : here s how its success helped <num> chipmakers #apple #iphone $aapl,1,0,1,1,0,0,rt @estimize : the iphone turned <num> : here s how its success helped <num> chipmakers #apple #iphone $aapl
3,3,"a light economic calendar has #investors looking toward friday when big banks $bac , $blk , and $jpm report #earnings .",0,0,1,0,0,0,"a light economic calendar has #investors looking toward friday when big banks $bac , $blk , and $jpm report #earnings ."
4,4,today 's stocks to watch : $vrx $googl $yhoo $vz $gs $baba,0,0,1,0,0,0,today 's stocks to watch : $vrx $googl $yhoo $vz $gs $baba
5,5,rt @businessinsider : millennials skip youtube ads ... and that 's ok $goog $googl,0,0,1,0,0,0,rt @businessinsider : millennials skip youtube ads ... and that 's ok $goog $googl
6,6,"cowen boosts alphabet price target to $<num>,<num> $goog $googl",0,0,1,0,0,0,"cowen boosts alphabet price target to $<num>,<num> $goog $googl"
7,7,$nvda nvidia just stunned the world again . my take via @yahoofinance @cnnmoney,0,0,1,0,0,0,$nvda nvidia just stunned the world again . my take via @yahoofinance @cnnmoney
8,8,trump effect ? small-business optimism index just rose the most since <num> $spy @realdonaldtrump,1,0,1,1,0,0,trump effect ? small-business optimism index just rose the most since <num> $spy @realdonaldtrump
9,9,$spy -i 'm glad you knew where the <num>day was around $<num> and used the $<num>.<num> ( prior low ) for a quick rdr . small tactics for cash flow,0,1,1,0,1,0,$spy -i 'm glad you knew where the <num>day was around $<num> and used the $<num>.<num> ( prior low ) for a quick rdr . small tactics for cash flow
10,10,nasdaq hits another record high today & amp ; among biggest contributors to the action ? illumina $ilmn regeneron $regn cisco $csco intel $intc etc,0,0,1,0,0,0,nasdaq hits another record high today & amp ; among biggest contributors to the action ? illumina $ilmn regeneron $regn cisco $csco intel $intc etc
11,11,"another new longterm position , busy week $twtr whew !",0,0,1,0,0,0,"another new longterm position , busy week $twtr whew !"
12,12,moonshots and paydirt $msft $googl $fb $aapl,0,0,1,0,0,0,moonshots and paydirt $msft $googl $fb $aapl
13,13,<num> reasons to own facebook ahead of <alphanum> results $fb,0,0,1,0,0,0,<num> reasons to own facebook ahead of <alphanum> results $fb
14,14,next up on @cnbc from #jpm<num> : $regn ceo len schleifer . i think he has a few things to say . what do you want to know ? tune in to @squawkalley,0,0,1,0,0,0,next up on @cnbc from #jpm<num> : $regn ceo len schleifer . i think he has a few things to say . what do you want to know ? tune in to @squawkalley
