@RELATION trialquotes_newdata

@ATTRIBUTE index_number REAL
@ATTRIBUTE tweet STRING
@ATTRIBUTE sentiment {-1.0,1.0}

@DATA

0,"valeant opens up <num> % after agreeing usd <num>.<num>bln deal with l'oreal $vrx",1.0
1,"watch $gs ' zach pandl on the dec jobs report & amp ; the fastest us wage growth since <num>",1.0
2,"rt @estimize : the iphone turned <num> : here s how its success helped <num> chipmakers #apple #iphone $aapl",1.0
3,"a light economic calendar has #investors looking toward friday when big banks $bac , $blk , and $jpm report #earnings .",1.0
4,"today 's stocks to watch : $vrx $googl $yhoo $vz $gs $baba",1.0
5,"rt @businessinsider : millennials skip youtube ads ... and that 's ok $goog $googl",1.0
6,"cowen boosts alphabet price target to $<num>,<num> $goog $googl",1.0
7,"$nvda nvidia just stunned the world again . my take via @yahoofinance @cnnmoney",1.0
8,"trump effect ? small-business optimism index just rose the most since <num> $spy @realdonaldtrump",1.0
9,"$spy -i 'm glad you knew where the <num>day was around $<num> and used the $<num>.<num> ( prior low ) for a quick rdr . small tactics for cash flow",1.0
10,"nasdaq hits another record high today & amp ; among biggest contributors to the action ? illumina $ilmn regeneron $regn cisco $csco intel $intc etc",1.0
11,"another new longterm position , busy week $twtr whew !",1.0
12,"moonshots and paydirt $msft $googl $fb $aapl",1.0
13,"<num> reasons to own facebook ahead of <alphanum> results $fb",1.0
14,"next up on @cnbc from #jpm<num> : $regn ceo len schleifer . i think he has a few things to say . what do you want to know ? tune in to @squawkalley",1.0
15,"$baba- nice move . sold mine today . it broke the downtrend at $<num>.<num>",1.0
16,"rt @kristenscholer : . @purewow ceo @ryanharwood<num> says he and @garyvee have already discussed how to capitalize on $fb 's new mid-roll ads . #",1.0
17,"rt @yahoofinance : live now : mid-roll video ads are coming to facebook - watch $fb",1.0
18,"did the head of chinese e-tailer jd meet with trump too ? #sarcasm but $jd up <num>.<num> % today . $baba continuing to rally as well .",1.0
19,"video : $gs economist zach pandl on rising wages and why the us is nearing full employment .",1.0
20,"internet stocks in <num> : look for platform leaders $amzn $fb $goog $sfly $shop $yelp",1.0
21,"alibaba continues rally following jack ma 's meeting with trump $baba",1.0
22,"fitbit acquires assets of watch company vector watch . $fit",1.0
23,"now $spy is a dollar higher as the .<num> risk when it reclaimed $<num>.<num> was worth it . trim and trail . that was a nice",1.0
24,"$ubs took $gs <num> & amp ; <num> eps to $<num>.<num> & amp ; $<num>.<num> from $<num>.<num> & amp ; $<num>.<num> . said gs could gain share as the ficc revenue environment improves",1.0
25,"live : facebook to test mid-roll video ads - @readdanwrite explains $fb",1.0
26,"minutes away : $vrx @valeant ceo joins @megtirrell live from #jpm<num> on @powerlunch - another @cnbc exclusive",1.0
27,"looking forward to joining @megtirrell on @halftimereport with @scottwapnercnbc soon on @cnbc $agn #jpm<num>",1.0
28,"ad buyer survey triggers facebook , alphabet target increases $crto $fb $goog",1.0
29,"lots of key macro flow lining up in past weeks concentrated in march/april/may area . $gld $slv $uso $tlt $spy $vxx . shakeouts commeth .",1.0
30,"why alibaba is the only china internet stock bernstein is bullish on via @barronsasia $baba #tencent $bidu $ctrp",1.0
31,"$iwm upper support area is $<num>.<num> . as long as this holds , this sector is `` actively constructive '' .",1.0
32,"$spy has upper support at $<num>ish . a hard close below gets some active traders to reduce risk . next is $<num>.<num> . resistance is $<num>.<num>",1.0
33,"amazon , j.p. morgan amp up the credit card rewards for prime members . $amzn $jpm",1.0
34,"tim arcuri looks at monthly sales reports from taiwan . data show $aapl supply chain advanced <num> % q/q in <alphanum>",1.0
35,"if you are in this field , contact me to see how we can help you on a daily basis . #ipo $aapl $fb $twtr $baba $jpm",1.0
36,"rt @thestreet : did you miss last night 's mad money ? check out @jimcramer 's top takeaways : $nvda $txn $adi",1.0
37,"google 's pixel storms the smartphone market $googl $goog $aapl the latest from @rosstucker",1.0
38,"another airline with better unit rev numbers : $aal joins $ual with gains premarket",1.0
39,"gm , gilead , barracuda and freeport-mcmoran : @cnbcfastmoney picks for january <num> $cuda $fcx $gild $gm",1.0
40,"facebook 's plan to insert mid-roll ads into native videos is very big news for content publishers :",1.0
41,"facebook 's new plan for video ads is huge for publishers $fb $googl",1.0
42,"@hedgeye <num> ) the u.s. economy is growing : sell long-term bonds & amp ; gold - $tlt $gld",1.0
43,". @mcdonalds new breakfast menu in #india is wonderfully weird : $mcd via @iyengarish",1.0
44,"natural gas stocks take off despite calls for warmer weather $dgaz $ugaz",1.0
45,"such ... a ... big ... bank ... account $xom",1.0
46,"facebook 's new plan for video ads is huge for publishers - $fb",1.0
47,"walgreens-rite aid merger ok seen before trump takes office $wba $rad $fred $kr $fdx",1.0
48,"#wallstreet <num>q trading seen best since '<num> . but what does it mean vs. weak comps ? cc @hugh_son f.maranz $jpm $bac",1.0
49,"breaking : ibd/tipp economic optimism index hits new <num>-year high as trump rally continues",1.0
50,"#googlepixel accounted for <num>.<num> % of sales for <num> months ending in nov. , but only started selling oct <num> .",1.0
51,"will $xom stock rise with tillerson as #secretaryofstate ?",1.0
52,"#elainechao 's testimony on autonomous cars , drones should please $gm $f $fca , $tsla $dlph , $mbly $amzn and many others",1.0
53,"learn why $gs ' investment strategy group still views the glass as half-full when it comes to the us #economy",1.0
54,"rt @kchaykowski : . @instagram kicks off monetization of its stories feature with full-screen photo and video ads $fb",1.0
55,"jefferies names winners for its <num> internet themes $amzn $atvi $crto $fb $goog $znga $nflx $pcln $expe",1.0
56,". @instagram kicks off monetization of its stories feature with full-screen photo and video ads $fb",1.0
57,"$spy $spx an option strategy in s & amp ; p <num> that crushed the market",1.0
58,"@mikeisaac a <num> for $fb and it has happened rather quickly . in a year , you will get a recruiting call . this is part of the future .",1.0
59,"rt @wallstjesus : early bull sweepers & gt ; & gt ; $crm $fslr $fcx $ccj $vrtx $a $bcrx $cop $atvi",1.0
