"","tweets","positive","negative","score"
0,"valeant opens up <num> % after agreeing usd <num>.<num>bln deal with l'oreal $vrx",0,0,1
1,"watch $gs ' zach pandl on the dec jobs report & amp ; the fastest us wage growth since <num>",1,0,1
2,"rt @estimize : the iphone turned <num> : here s how its success helped <num> chipmakers #apple #iphone $aapl",1,0,1
3,"a light economic calendar has #investors looking toward friday when big banks $bac , $blk , and $jpm report #earnings .",0,0,1
4,"today 's stocks to watch : $vrx $googl $yhoo $vz $gs $baba",0,0,1
5,"rt @businessinsider : millennials skip youtube ads ... and that 's ok $goog $googl",0,0,1
6,"cowen boosts alphabet price target to $<num>,<num> $goog $googl",0,0,1
7,"$nvda nvidia just stunned the world again . my take via @yahoofinance @cnnmoney",0,0,1
8,"trump effect ? small-business optimism index just rose the most since <num> $spy @realdonaldtrump",1,0,1
9,"$spy -i 'm glad you knew where the <num>day was around $<num> and used the $<num>.<num> ( prior low ) for a quick rdr . small tactics for cash flow",0,1,1
10,"nasdaq hits another record high today & amp ; among biggest contributors to the action ? illumina $ilmn regeneron $regn cisco $csco intel $intc etc",0,0,1
11,"another new longterm position , busy week $twtr whew !",0,0,1
12,"moonshots and paydirt $msft $googl $fb $aapl",0,0,1
13,"<num> reasons to own facebook ahead of <alphanum> results $fb",0,0,1
14,"next up on @cnbc from #jpm<num> : $regn ceo len schleifer . i think he has a few things to say . what do you want to know ? tune in to @squawkalley",0,0,1
15,"$baba- nice move . sold mine today . it broke the downtrend at $<num>.<num>",0,2,1
16,"rt @kristenscholer : . @purewow ceo @ryanharwood<num> says he and @garyvee have already discussed how to capitalize on $fb 's new mid-roll ads . #",0,0,1
17,"rt @yahoofinance : live now : mid-roll video ads are coming to facebook - watch $fb",0,0,1
18,"did the head of chinese e-tailer jd meet with trump too ? #sarcasm but $jd up <num>.<num> % today . $baba continuing to rally as well .",0,0,1
19,"video : $gs economist zach pandl on rising wages and why the us is nearing full employment .",0,0,1
20,"internet stocks in <num> : look for platform leaders $amzn $fb $goog $sfly $shop $yelp",0,0,1
21,"alibaba continues rally following jack ma 's meeting with trump $baba",0,0,1
22,"fitbit acquires assets of watch company vector watch . $fit",0,0,1
23,"now $spy is a dollar higher as the .<num> risk when it reclaimed $<num>.<num> was worth it . trim and trail . that was a nice",0,1,1
24,"$ubs took $gs <num> & amp ; <num> eps to $<num>.<num> & amp ; $<num>.<num> from $<num>.<num> & amp ; $<num>.<num> . said gs could gain share as the ficc revenue environment improves",2,0,1
25,"live : facebook to test mid-roll video ads - @readdanwrite explains $fb",0,0,1
26,"minutes away : $vrx @valeant ceo joins @megtirrell live from #jpm<num> on @powerlunch - another @cnbc exclusive",1,0,1
27,"looking forward to joining @megtirrell on @halftimereport with @scottwapnercnbc soon on @cnbc $agn #jpm<num>",0,0,1
28,"ad buyer survey triggers facebook , alphabet target increases $crto $fb $goog",0,0,1
29,"lots of key macro flow lining up in past weeks concentrated in march/april/may area . $gld $slv $uso $tlt $spy $vxx . shakeouts commeth .",0,0,1
30,"why alibaba is the only china internet stock bernstein is bullish on via @barronsasia $baba #tencent $bidu $ctrp",0,0,1
31,"$iwm upper support area is $<num>.<num> . as long as this holds , this sector is `` actively constructive '' .",2,0,1
32,"$spy has upper support at $<num>ish . a hard close below gets some active traders to reduce risk . next is $<num>.<num> . resistance is $<num>.<num>",0,1,1
33,"amazon , j.p. morgan amp up the credit card rewards for prime members . $amzn $jpm",1,0,1
34,"tim arcuri looks at monthly sales reports from taiwan . data show $aapl supply chain advanced <num> % q/q in <alphanum>",0,0,1
35,"if you are in this field , contact me to see how we can help you on a daily basis . #ipo $aapl $fb $twtr $baba $jpm",0,0,1
36,"rt @thestreet : did you miss last night 's mad money ? check out @jimcramer 's top takeaways : $nvda $txn $adi",1,1,1
37,"google 's pixel storms the smartphone market $googl $goog $aapl the latest from @rosstucker",0,0,1
38,"another airline with better unit rev numbers : $aal joins $ual with gains premarket",2,0,1
39,"gm , gilead , barracuda and freeport-mcmoran : @cnbcfastmoney picks for january <num> $cuda $fcx $gild $gm",0,0,1
40,"facebook 's plan to insert mid-roll ads into native videos is very big news for content publishers :",0,0,1
41,"facebook 's new plan for video ads is huge for publishers $fb $googl",0,0,1
42,"@hedgeye <num> ) the u.s. economy is growing : sell long-term bonds & amp ; gold - $tlt $gld",0,1,1
43,". @mcdonalds new breakfast menu in #india is wonderfully weird : $mcd via @iyengarish",0,0,1
44,"natural gas stocks take off despite calls for warmer weather $dgaz $ugaz",1,0,1
45,"such ... a ... big ... bank ... account $xom",0,0,1
46,"facebook 's new plan for video ads is huge for publishers - $fb",0,0,1
47,"walgreens-rite aid merger ok seen before trump takes office $wba $rad $fred $kr $fdx",0,0,1
48,"#wallstreet <num>q trading seen best since '<num> . but what does it mean vs. weak comps ? cc @hugh_son f.maranz $jpm $bac",1,1,1
49,"breaking : ibd/tipp economic optimism index hits new <num>-year high as trump rally continues",0,1,1
50,"#googlepixel accounted for <num>.<num> % of sales for <num> months ending in nov. , but only started selling oct <num> .",0,1,1
51,"will $xom stock rise with tillerson as #secretaryofstate ?",1,0,1
52,"#elainechao 's testimony on autonomous cars , drones should please $gm $f $fca , $tsla $dlph , $mbly $amzn and many others",0,0,1
53,"learn why $gs ' investment strategy group still views the glass as half-full when it comes to the us #economy",0,0,1
54,"rt @kchaykowski : . @instagram kicks off monetization of its stories feature with full-screen photo and video ads $fb",0,0,1
55,"jefferies names winners for its <num> internet themes $amzn $atvi $crto $fb $goog $znga $nflx $pcln $expe",1,0,1
56,". @instagram kicks off monetization of its stories feature with full-screen photo and video ads $fb",0,0,1
57,"$spy $spx an option strategy in s & amp ; p <num> that crushed the market",0,1,1
58,"@mikeisaac a <num> for $fb and it has happened rather quickly . in a year , you will get a recruiting call . this is part of the future .",0,0,1
59,"rt @wallstjesus : early bull sweepers & gt ; & gt ; $crm $fslr $fcx $ccj $vrtx $a $bcrx $cop $atvi",0,0,1
60,"eli lilly , merck add new combo alliance ; gilead really does want to focus on m & amp ; a $lly $mrk $gild",1,0,1
61,"credit suisse notes yelp 's salesforce growth into first-half results $yelp",1,0,1
62,"nope , but a good day for $xom",1,0,1
63,"are $baba shares up now ? #trumppressconference",0,0,1
64,"mcdonald s unveils the mother of all localisation : the masala dosa burger $mcd",0,0,1
65,"rt @bespokeinvest : netflix $nflx tops the list of winners over the last <num> years with a gain of <num>,<num> % . $amzn ranks <num>th at <num>,<num> % :",2,0,1
66,"american airline shares were up <num>.<num> % on news it could become the first airline to report positive unit revenue :",1,0,1
67,"@stormwolf<num> thank you for the vote of confidence . its always open for you to buy more $vrx .",1,0,1
68,"wonder how bill feels about trump now ? $vrx",0,0,1
69,"i 'll see how $amzn reacts around $<num>- $<num> to buy back . $tsla closer to $<num>- $<num> to do the same",1,0,1
70,"trimmed most longs and vtf saw me get flattish as $spy took out $<num> . also well before that",1,0,1
71,"some stocks to watch to get you through hump day : $mrk $amzn $sig $adm $f",0,0,1
72,"$spy reclaimed $<num> with a new point of reference at $<num>.<num> . this upper range expanded a bit and got a `` wider '' .",0,0,1
73,"true , last time big was ey , audited his bankrupt casino unsuccessfully . but many of his $gs appointees comfortable",0,2,1
74,". @tcharnota sears was the first amazon . did n't build a store until <num>. biggest merchant in america thru catalogs",0,0,1
75,"mcdonald 's is bringing local fare to its breakfast menu in mumbai : $mcd",0,0,1
76,"$aapl how apple services could change everything my take via @yahoofinance @cnnmoney",0,0,1
77,"rt @melissaleecnbc : another airline with better unit rev numbers : $aal joins $ual with gains premarket",2,0,1
78,"jack ma 's promised <num> million u.s. jobs would represent 'almost <num> % of all jobs in the u.s . '",0,0,1
